finn_car_id,product_brand,purchasing_model,purchasing_model_line,product_fuel,helper_subscription_handover_date,product_body_type,delivery_compound_location
0h8rojsz,Land Rover,Range Rover Evoque,R-Dynamic SE,Diesel (mild-hybrid),,SUV,compound_blg_duisburg
0h61ii9z,Seat,Alhambra,FR-Line,Benzin,2022-07-22,Van,compound_akb_kitzingen
0h64f8vf,Nissan,Qashqai,N-Connecta e-POWER,Benzin,,SUV,compound_blg_d2c_atn2_neuss
0h7711ak,e.GO,Life,NEXT,Elektro,,Limousine,compound_finngmbh_münchen
0haj1qr8,Kia,ProCeed,GT,Benzin,,Kombi,compound_blg_duisburg
0hblinuj,BMW,X4,M Automobile,Diesel,2022-02-02,SUV,compound_akb_schoeneck
0hbvma33,VW,Passat Variant,Business,Diesel,2022-11-10,Kombi,compound_arsaltmann_wolnzach
0hcwago6,Renault,Koleos,Intens,Benzin,2022-09-30,SUV,compound_rrg_eching
0hdpzzdc,Opel,Insignia ST,Elegance,Benzin,2023-01-17,Kombi,dealer_siebrecht_d2c_uslar
0heh90hg,Fiat,500 e,ICON,Elektro,,Kleinwagen,compound_mosolf_kippenheim
0hfadg99,Opel,Astra ST,GS Line,Plug-In-Hybrid,,Kombi,dealer_siebrecht_d2c_uslar
0hgf919x,Audi,Q3 Sportback,S line,Plug-In-Hybrid,,SUV,compound_akb_kitzingen
0hggfgn7,Land Rover,Discovery Sport,R-Dynamic SE,Diesel (mild-hybrid),,SUV,compound_blg_duisburg
0hh9rhc1,Fiat,500 e,ICON,Elektro,2022-03-02,Kleinwagen,compound_mosolf_kippenheim
0hikphpw,VW,Passat Variant,Business,Benzin,2022-12-21,Kombi,compound_arsaltmann_wolnzach
0hiww9s8,Opel,Zafira Life,Edition,Diesel,,Van,dealer_siebrecht_d2c_uslar
0hj500wr,Fiat,500C,Dolcevita,Benzin (mild-hybrid),2023-01-26,Cabriolet,compound_mosolf_ketzin
0hkky1xt,MINI,3 Türer,Classic Trim,Benzin,2022-05-02,Limousine,compound_akb_schoeneck
0hp1v6pg,Opel,Mokka e,GS Line,Elektro,2023-02-10,SUV,dealer_siebrecht_d2c_uslar
0hphthkf,Audi,RS Q3 Sportback,,Benzin,,SUV,compound_akb_kitzingen
0hplmjgd,Opel,Corsa e,GS Line,Elektro,,Limousine,dealer_siebrecht_d2c_uslar
0hq158l8,BMW,3er Touring,M Sportpaket,Plug-In-Hybrid,2023-02-16,Kombi,compound_akb_kitzingen
0huzhxyx,Tesla,Model 3,Long Range,Elektro,2023-01-18,Limousine,compound_akb_kitzingen
0hwipejs,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
0hwmhuwl,Polestar,2,Long Range Single Motor,Elektro,,Limousine,compound_catzuelpich_zülpich
0hxvtqoc,Opel,Mokka e,GS Line,Elektro,,SUV,dealer_siebrecht_d2c_uslar
0hywh974,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
0hzt35kx,Jeep,Compass,Limited,Benzin,2022-08-12,SUV,compound_mosolf_kippenheim
0i0d5qa4,Fiat,500 e,ICON,Elektro,,Kleinwagen,compound_mosolf_kippenheim
0i1d40de,Jeep,Compass,Limited,Benzin,,SUV,compound_mosolf_kippenheim
0i2bts0v,Fiat,500C,Dolcevita,Benzin (mild-hybrid),,Cabriolet,compound_mosolf_ketzin
0i2d2y7f,Fiat,500C,Dolcevita,Benzin (mild-hybrid),,Cabriolet,compound_mosolf_ketzin
0i3x3s69,VW,Passat Variant,Business,Diesel,2022-08-24,Kombi,compound_arsaltmann_wolnzach
0i4r48le,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
0i5oocyv,Opel,Grandland X,Elegance,Benzin,2023-01-09,SUV,dealer_siebrecht_d2c_uslar
